user_id,date,time,rmssd,coverage,hf,lf
smcfb.02.003,2024-03-03,00:30:00.000,25.394,0.997,131.948,82.015
smcfb.02.003,2024-03-03,00:35:00.000,18.923,1.006,33.34,73.486
smcfb.02.003,2024-03-03,00:40:00.000,19.056,1.004,53.746,121.889
smcfb.02.003,2024-03-03,00:45:00.000,24.871,0.943,61.913,172.993
smcfb.02.003,2024-03-03,00:50:00.000,34.469,0.988,235.029,86.968
smcfb.02.003,2024-03-03,00:55:00.000,32.761,0.985,181.358,153.466
smcfb.02.003,2024-03-03,01:00:00.000,32.576,1.0,165.516,103.212
smcfb.02.003,2024-03-03,01:05:00.000,33.544,1.004,230.017,173.522
smcfb.02.003,2024-03-03,01:10:00.000,35.101,1.004,248.366,137.74
smcfb.02.003,2024-03-03,01:15:00.000,30.181,0.976,186.357,164.252
smcfb.02.003,2024-03-03,01:20:00.000,22.194,0.931,70.341,410.191
smcfb.02.003,2024-03-03,01:25:00.000,25.119,0.998,112.267,127.191
smcfb.02.003,2024-03-03,01:30:00.000,23.877,1.005,92.193,263.107
smcfb.02.003,2024-03-03,01:35:00.000,27.108,0.913,502.444,1777.251
smcfb.02.003,2024-03-03,01:45:00.000,29.989,1.005,117.754,72.057
smcfb.02.003,2024-03-03,01:50:00.000,25.273,1.0,112.722,49.722
smcfb.02.003,2024-03-03,01:55:00.000,32.16,1.003,185.079,74.112
smcfb.02.003,2024-03-14,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-15,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-21,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-24,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-25,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-26,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-28,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-31,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-01,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-02,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-03,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-04,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-05,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-06,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-07,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-08,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-08,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-09,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-10,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-11,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-13,-1,-1,-1,-1,-1
smcfb.02.003,2024-04-14,-1,-1,-1,-1,-1
